decl,tau,umag,redshift,gmag,av,specname,zmag,lensid,rv,nimg,imgid,ra,extmodel,absimag,ymag,imag,rmag,sfinf,magnorm,fluxnorm,t_0
6.60474333333,282.793274433,23.66798972,2.41,22.7597442929,0.0,agn.spec,22.4696015295,24459097,3.1,2,1,4.65798458237,CCM,-23.2133072721,22.3197668144,22.6449125935,22.6853804734,0.326514928923,23.173899219,2.34070808672e-17,256.473
6.74760333333,275.449988719,20.8578668377,1.61,20.6375568954,0.0,agn.spec,20.3054356689,24469604,3.1,2,0,4.66981736492,CCM,-24.1792978001,20.3398103359,20.3186290684,20.5225675052,0.206258723363,20.8491221835,1.99185660346e-16,0.0
6.75316666667,275.449988719,21.4774609875,1.61,21.2571510451,0.0,agn.spec,20.9250298186,24469604,3.1,2,1,4.64543166774,CCM,-24.1792978001,20.9594044857,20.9382232181,21.1421616549,0.206258723363,21.4687163333,1.1256941518e-16,155.988
6.907515,394.167113909,21.2445736318,2.29,20.5139726605,0.0,agn.spec,20.1684457232,24506909,3.1,2,0,4.64900109863,CCM,-24.7752863268,20.085137314,20.3584318968,20.4363269291,0.226265446524,20.8906095002,1.91718111806e-16,0.0
6.89901833333,394.167113909,23.5552266522,2.29,22.8246256809,0.0,agn.spec,22.4790987436,24506909,3.1,2,1,4.65007554716,CCM,-24.7752863268,22.3957903344,22.6690849172,22.7469799495,0.226265446524,23.2012625206,2.2824534811e-17,19.3
7.05424,88.9429455232,20.3459419828,1.41,20.3034482177,0.0,agn.spec,19.9797198092,24554431,3.1,4,0,4.6481207921,CCM,-21.9776707939,20.0110301143,19.9825571879,20.0464548107,0.378125129065,20.4192198642,2.95950445105e-16,0.0
7.04745666667,88.9429455232,20.0877996071,1.41,20.045305842,0.0,agn.spec,19.7215774335,24554431,3.1,4,1,4.64614250175,CCM,-21.9776707939,19.7528877386,19.7244148122,19.788312435,0.378125129065,20.1610774885,3.75384164246e-16,1.082
7.050515,88.9429455232,20.2937097563,1.41,20.2512159912,0.0,agn.spec,19.9274875826,24554431,3.1,4,2,4.65462496742,CCM,-21.9776707939,19.9587978878,19.9303249614,19.9942225842,0.378125129065,20.3669876377,3.10535952458e-16,1.213
7.04573,88.9429455232,19.7173041847,1.41,19.6748104195,0.0,agn.spec,19.351082011,24554431,3.1,4,3,4.65137036072,CCM,-21.9776707939,19.3823923161,19.3539193897,19.4178170125,0.378125129065,19.790582066,5.28048868973e-16,0.766
7.193535,141.859941088,22.9680805285,3.03,21.4582147796,0.0,agn.spec,21.053562625,24585196,3.1,4,0,4.66169555629,CCM,-23.3835558741,20.8914523771,21.0448882682,21.1186186554,0.286988960935,21.7246706122,8.8928035464e-17,66.799
7.20059833333,141.859941088,24.3565435,3.03,22.8466777511,0.0,agn.spec,22.4420255965,24585196,3.1,4,1,4.62967136934,CCM,-23.3835558741,22.2799153486,22.4333512397,22.5070816269,0.286988960935,23.1131335837,2.47544630056e-17,0.0
