decl,ra_bulge,dec_bulge,g,redshift,ext_model_bulge,pa_bulge,fluxnorm_bulge,sedname_bulge,b_bulge,i,r,u,ra,a_bulge,y,z,rv_bulge,id,magnorm_bulge,av_bulge
1.5,7.5,1.5,18.1504359564,0.164,CCM,-68.62962,3.93290650592e-15,Exp.50E09.1Z.spec,1.92806865604,16.8818054,17.2556974724,19.4670512153,7.5,2.42668464637,16.4895735108,16.6478627414,3.1,246771,17.610483302,0.0
1.65,7.5,1.65,19.3998190381,0.166,CCM,-12.06737,1.25220119142e-15,Exp.50E09.1Z.spec,1.13571975674,18.1253242,18.5000891991,20.7154357434,7.5,1.34610013087,17.7322197005,17.8914322473,3.1,250560,18.8530820763,0.0
1.8,7.5,1.8,18.5481803381,0.166,CCM,-8.018603,2.74365558383e-15,Exp.50E09.1Z.spec,1.41760372877,17.2736855,17.6484504991,19.8637970434,7.5,2.33093640514,16.8805810005,17.0397935473,3.1,253118,18.0014433763,0.0
1.95,7.5,1.95,18.5361029381,0.166,CCM,5.206704,2.77434555228e-15,Exp.50E09.1Z.spec,1.38940306461,17.2616081,17.6363730991,19.8517196434,7.5,2.40439099702,16.8685036005,17.0277161473,3.1,254175,17.9893659763,0.0
2.1,7.5,2.1,19.1328054005,0.168,CCM,48.5889,1.61125705683e-15,Exp.50E09.1Z.spec,1.38973013417,17.8524857,18.2284393923,20.4477301192,7.5,1.41785584278,17.4586845341,17.6186882166,3.1,260510,18.5793552768,0.0
2.25,7.5,2.25,18.4865251005,0.168,CCM,-123.1227,2.921978072e-15,Exp.50E09.1Z.spec,1.58986882777,17.2062054,17.5821590923,19.8014498192,7.5,2.22444334346,16.8124042341,16.9724079166,3.1,262167,17.9330749768,0.0
2.4,7.5,2.4,18.4563260005,0.168,CCM,-130.7291,3.0043919693e-15,Exp.50E09.1Z.spec,1.56392533828,17.1760063,17.5519599923,19.7712507192,7.5,2.3240031026,16.7822051341,16.9422088166,3.1,262725,17.9028758768,0.0
2.55,7.5,2.55,18.1784864005,0.168,CCM,-97.51201,3.88054239475e-15,Exp.50E09.1Z.spec,1.8365748533,16.8981667,17.2741203923,19.4934111192,7.5,2.54477295052,16.5043655341,16.6643692166,3.1,263231,17.6250362768,0.0
2.7,7.5,2.7,18.2194470472,0.17,CCM,-101.5806,3.7597796585e-15,Exp.50E09.1Z.spec,1.71299601968,16.9330463,17.3105844514,19.5341038757,7.5,2.66172258398,16.5389189753,16.699627048,3.1,272799,17.6593613732,0.0
2.85,7.5,2.85,18.964354451,0.174,CCM,-85.92757,1.91681069811e-15,Exp.50E09.1Z.spec,1.48132413009,17.6663017,18.0463473563,20.2788537746,7.5,1.60693140147,17.2706422197,17.4329101861,3.1,290143,18.3908192964,0.0
3.0,7.5,3.0,18.795233651,0.174,CCM,57.77347,2.23989440326e-15,Exp.50E09.1Z.spec,1.55138794853,17.4971809,17.8772265563,20.1097329746,7.5,1.78813300306,17.1015214197,17.2637893861,3.1,290389,18.2216984964,0.0
3.15,7.5,3.15,18.9016216113,0.176,CCM,163.8975,2.0435683891e-15,Exp.50E09.1Z.spec,1.52859951981,17.5975952,17.9789645337,20.2161688137,7.5,1.66848418252,17.2012782222,17.3643058827,3.1,299506,18.3212944175,0.0
3.3,7.5,3.3,18.1466225113,0.176,CCM,-25.07975,4.09627227643e-15,Exp.50E09.1Z.spec,1.54416886961,16.8425961,17.2239654337,19.4611697137,7.5,3.27094685168,16.4462791222,16.6093067827,3.1,301454,17.5662953175,0.0
3.45,7.5,3.45,18.4036414441,0.178,CCM,-148.7013,3.25296784658e-15,Exp.50E09.1Z.spec,1.7335063387,17.0937405,17.4764077139,19.7182366333,7.5,2.33717158201,16.6968134207,16.8604969157,3.1,311278,17.8165679315,0.0
3.6,7.5,3.6,19.2944854283,0.18,CCM,170.7771,1.4409068293e-15,Exp.50E09.1Z.spec,1.15799989948,17.9787865,18.3627355607,20.6090676546,7.5,1.58123802138,17.5812063475,17.745534657,3.1,317729,18.7006776086,0.0
3.75,7.5,3.75,18.1529220283,0.18,CCM,19.73619,4.1234550033e-15,Exp.50E09.1Z.spec,1.94786449334,16.8372231,17.2211721607,19.4675042546,7.5,2.6414175328,16.4396429475,16.603971257,3.1,322536,17.5591142086,0.0
3.9,7.5,3.9,20.4775593789,0.184,CCM,129.0688,4.90693403311e-16,Exp.50E09.1Z.spec,0.603978902461,19.1501102,19.5365672941,21.7916293171,7.5,1.06462912765,18.7515196385,18.9170927313,3.1,332249,19.8702418091,0.0
4.05,7.5,4.05,18.3212788789,0.184,CCM,79.22883,3.57538175423e-15,Exp.50E09.1Z.spec,1.96914258564,16.9938297,17.3802867941,19.6353488171,7.5,2.29862764198,16.5952391385,16.7608122313,3.1,341500,17.7139613091,0.0
4.2,7.5,4.2,18.4058392789,0.184,CCM,-56.84685,3.30748786559e-15,Exp.50E09.1Z.spec,1.73161639221,17.0783901,17.4648471941,19.7199092171,7.5,2.42135074213,16.6797995385,16.8453726313,3.1,342959,17.7985217091,0.0
4.35,7.5,4.35,19.6464429078,0.186,CCM,-150.9841,1.06172092877e-15,Exp.50E09.1Z.spec,1.11993086967,18.3129559,18.7006844111,20.9600421899,7.5,1.23316418562,17.9138281299,18.0801770133,3.1,347938,19.0322414122,0.0
4.5,7.5,4.5,19.4773221078,0.186,CCM,177.3823,1.24067690592e-15,Exp.50E09.1Z.spec,1.11217678803,18.1438351,18.5315636111,20.7909213899,7.5,1.44714102104,17.7447073299,17.9110562133,3.1,347980,18.8631206122,0.0
4.65,7.5,4.65,18.8733239078,0.186,CCM,-164.4315,2.16400359694e-15,Exp.50E09.1Z.spec,1.37849977066,17.5398369,17.9275654111,20.1869231899,7.5,2.01688000925,17.1407091299,17.3070580133,3.1,351557,18.2591224122,0.0
