decl,tau,redshift,av,lensid,rv,nimg,imgid,ra,extmodel,absimag,sfinf,magnorm,g,i,r,u,sedname,fluxnorm,y,t_0,z
-2.40822833333,202.302400339,4.57,0.0,81875512,3.1,4,0,3.15570834052,CCM,-26.0328779678,0.244438354285,21.6575142264,22.7644385337,20.8245237901,21.1923536179,23.3353076084,agn.spec,9.46022035856e-17,20.6847053129,86.496,20.6172992322
-2.40789833333,202.302400339,4.57,0.0,81875512,3.1,4,1,3.13988946468,CCM,-26.0328779678,0.244438354285,20.506025417,21.6129497243,19.6730349807,20.0408648085,22.183818799,agn.spec,2.7321011643e-16,19.5332165035,64.086,19.4658104228
-2.38519666667,202.302400339,4.57,0.0,81875512,3.1,4,2,3.15836233519,CCM,-26.0328779678,0.244438354285,21.3806961286,22.487620436,20.5477056923,20.9155355202,23.0584895106,agn.spec,1.22075494369e-16,20.4078872151,0.0,20.3404811344
-2.39881833333,202.302400339,4.57,0.0,81875512,3.1,4,3,3.13840816532,CCM,-26.0328779678,0.244438354285,20.8685430484,21.9754673558,20.0355526121,20.40338244,22.5463364304,agn.spec,1.95654447196e-16,19.8957341349,67.941,19.8283280542
-2.25529833333,487.064852165,3.9,0.0,81875948,3.1,2,0,3.16287659405,CCM,-26.2484948658,0.198236939589,19.8533953301,20.3615042579,19.0233973543,19.1830896059,21.5999201067,agn.spec,4.98366465106e-16,18.9164233133,0.0,19.0177141664
-2.25070333333,487.064852165,3.9,0.0,81875948,3.1,2,1,3.14038592123,CCM,-26.2484948658,0.198236939589,20.2129695625,20.7210784903,19.3829715868,19.5426638384,21.9594943391,agn.spec,3.57864911544e-16,19.2759975457,60.653,19.3772883988
-2.10518,561.43964458,3.98,0.0,82633612,3.1,2,0,3.14763841394,CCM,-25.5093487089,0.259399167294,22.7169695687,23.2735408513,21.8755227896,22.0674440764,24.4539324481,agn.spec,3.56548912098e-17,21.7555562575,137.973,21.8814519667
-2.08415333333,561.43964458,3.98,0.0,82633612,3.1,2,1,3.15049199709,CCM,-25.5093487089,0.259399167294,21.212736771,21.7693080536,20.3712899919,20.5632112787,22.9496996504,agn.spec,1.42499137184e-16,20.2513234598,0.0,20.377219169
-1.95543166667,432.672824575,3.58,0.0,82634858,3.1,2,0,3.15604683504,CCM,-23.6880903696,0.361519216125,22.8370362287,23.0764068749,22.0279396619,22.1547107947,24.6192931518,agn.spec,3.19221733519e-17,22.0276550309,0.0,21.977326991
-1.95167333333,432.672824575,3.58,0.0,82634858,3.1,2,1,3.14475029324,CCM,-23.6880903696,0.361519216125,23.2437803919,23.4831510381,22.4346838251,22.5614549579,25.026037315,agn.spec,2.19479916544e-17,22.4343991942,26.435,22.3840711543
-1.805855,153.30846244,2.01,0.0,82644834,3.1,2,0,3.14397202556,CCM,-23.2339134728,0.261668739851,22.2338841838,21.9570575827,21.6860557008,21.8515537111,22.0821631023,agn.spec,5.56356632338e-17,21.553853106,0.0,21.5137875436
-1.79806,153.30846244,2.01,0.0,82644834,3.1,2,1,3.15241619225,CCM,-23.2339134728,0.261668739851,22.099080963,21.8222543618,21.55125248,21.7167504903,21.9473598815,agn.spec,6.29904278141e-17,21.4190498852,113.227,21.3789843228
-1.65543333333,185.730607559,3.55,0.0,82819571,3.1,2,0,3.15257440076,CCM,-23.2136799812,0.386069671924,23.2597533045,23.4360663577,22.458099838,22.5876940891,25.0449647715,agn.spec,2.16274651745e-17,22.4540100892,53.586,22.4051877986
-1.643515,185.730607559,3.55,0.0,82819571,3.1,2,1,3.14110964711,CCM,-23.2136799812,0.386069671924,23.4404484798,23.616761533,22.6387950133,22.7683892644,25.2256599468,agn.spec,1.83116530524e-17,22.6347052645,0.0,22.5858829739
-1.51263666667,166.884010771,3.18,0.0,82831050,3.1,2,0,3.14577855342,CCM,-24.4544516038,0.2825554191,21.0356031146,20.8077751756,20.3206474478,20.4172712704,22.5658880565,agn.spec,1.67751223856e-16,20.2258596528,0.0,20.3333192779
-1.49387,166.884010771,3.18,0.0,82831050,3.1,2,1,3.14855117019,CCM,-24.4544516038,0.2825554191,23.158947832,22.9311198931,22.4439921653,22.5406159878,24.689232774,agn.spec,2.37316432084e-17,22.3492043702,102.919,22.4566639954
-1.36106166667,139.929006287,3.78,0.0,82836602,3.1,2,0,3.16427229489,CCM,-25.9895433399,0.222540219766,20.625802423,21.0651035212,19.7975176303,19.933446499,22.385617145,agn.spec,2.44672958858e-16,19.7540709381,0.0,19.7622566131
-1.3404,139.929006287,3.78,0.0,82836602,3.1,2,1,3.14618560791,CCM,-25.9895433399,0.222540219766,20.8733086765,21.3126097747,20.0450238839,20.1809527525,22.6331233985,agn.spec,1.94797541999e-16,20.0015771917,153.938,20.0097628666
-1.204725,284.849056648,3.05,0.0,83004686,3.1,2,0,3.13922430338,CCM,-25.8748100568,0.22524995435,20.7218604427,20.459805894,20.0361907259,20.1134205477,22.0031280549,agn.spec,2.23956032985e-16,19.8909999869,0.0,20.0487324247
-1.19894833333,284.849056648,3.05,0.0,83004686,3.1,2,1,3.15153200266,CCM,-25.8748100568,0.22524995435,22.4084693649,22.1464148163,21.7227996481,21.8000294699,23.6897369771,agn.spec,4.73717247511e-17,21.5776089091,112.984,21.735341347
-1.06070833333,137.193676494,2.91,0.0,83398696,3.1,4,0,3.14375228424,CCM,-23.9127092389,0.294271631438,22.6970725012,22.4012533853,22.0321203725,22.1125441078,23.7219567038,agn.spec,3.63143222102e-17,21.8581051847,0.0,22.0310266469
-1.0508,137.193676494,2.91,0.0,83398696,3.1,4,1,3.15718787362,CCM,-23.9127092389,0.294271631438,21.9813784752,21.6855593593,21.3164263465,21.3968500818,23.0062626777,agn.spec,7.02029808863e-17,21.1424111586,79.15,21.3153326208
-1.04666333333,137.193676494,2.91,0.0,83398696,3.1,4,2,3.15677613782,CCM,-23.9127092389,0.294271631438,21.5559823332,21.2601632172,20.8910302045,20.9714539397,22.5808665357,agn.spec,1.03875711111e-16,20.7170150166,77.932,20.8899364788
-1.04535,137.193676494,2.91,0.0,83398696,3.1,4,3,3.14696949113,CCM,-23.9127092389,0.294271631438,23.3430164515,23.0471973356,22.6780643228,22.7584880581,24.3679006541,agn.spec,2.00308953742e-17,22.504049135,97.364,22.6769705972
-0.901726666667,393.505977902,2.17,0.0,83410710,3.1,2,0,3.14672292905,CCM,-24.0638767636,0.247359369983,22.4071788036,22.0970409799,21.8660983684,21.9835862974,22.3786516402,agn.spec,4.74280666755e-17,21.6902363071,106.008,21.6592664569
-0.89079,393.505977902,2.17,0.0,83410710,3.1,2,1,3.1506200765,CCM,-24.0638767636,0.247359369983,21.7886351954,21.4784973718,21.2475547603,21.3650426893,21.7601080321,agn.spec,8.38403079802e-17,21.0716926989,0.0,21.0407228488
-0.756176666667,310.155939125,3.93,0.0,83530286,3.1,2,0,3.14909158884,CCM,-23.028163669,0.416398076289,23.8739822813,24.4000783686,23.043838345,23.2113827772,25.6169793957,agn.spec,1.22832709162e-17,22.9261513898,0.0,23.040832449
-0.746798333333,310.155939125,3.93,0.0,83530286,3.1,2,1,3.15009167452,CCM,-23.028163669,0.416398076289,23.5757146037,24.1018106909,22.7455706673,22.9131150995,25.3187117181,agn.spec,1.61666896648e-17,22.6278837122,18.332,22.7425647713
-0.590963333333,311.935792542,2.65,0.0,83793728,3.1,2,0,3.14040614063,CCM,-25.5855604656,0.227422930896,21.0118668073,20.6863905106,20.4251582369,20.4451063751,21.6189521236,agn.spec,1.71458973848e-16,20.1686305941,0.0,20.3055709937
-0.600318333333,311.935792542,2.65,0.0,83793728,3.1,2,1,3.15071837272,CCM,-25.5855604656,0.227422930896,23.099333585,22.7738572883,22.5126250146,22.5325731528,23.7064189013,agn.spec,2.50711069274e-17,22.2560973718,146.247,22.3930377714
-0.454888333333,324.136270059,3.31,0.0,83958947,3.1,4,0,3.15059501835,CCM,-22.4351248073,0.500428844557,24.7795858993,24.6054466299,24.0610410439,24.1544022709,26.5139768703,agn.spec,5.33424038946e-18,23.9862723703,27.539,24.0051853047
-0.446188333333,324.136270059,3.31,0.0,83958947,3.1,4,1,3.14306978626,CCM,-22.4351248073,0.500428844557,23.7417720762,23.5676328067,23.0232272208,23.1165884477,25.4761630471,agn.spec,1.38738857143e-17,22.9484585472,0.0,22.9673714816
-0.44346,324.136270059,3.31,0.0,83958947,3.1,4,2,3.15267674922,CCM,-22.4351248073,0.500428844557,22.2936590355,22.1195197661,21.5751141802,21.6684754071,24.0280500065,agn.spec,5.26554500351e-17,21.5003455065,7.41,21.5192584409
-0.444603333333,324.136270059,3.31,0.0,83958947,3.1,4,3,3.15456180736,CCM,-22.4351248073,0.500428844557,22.2556663165,22.081527047,21.5371214611,21.630482688,23.9900572874,agn.spec,5.45306176184e-17,21.4623527875,7.325,21.4812657219
-0.298085,296.022010466,2.52,0.0,83961508,3.1,2,0,3.15699842927,CCM,-25.2457120112,0.21505837825,20.5414273564,20.1499933366,20.0070961104,20.0067958191,21.0773219948,agn.spec,2.64445390077e-16,19.6837558611,0.0,19.8261370695
-0.30003,296.022010466,2.52,0.0,83961508,3.1,2,1,3.1485216464,CCM,-25.2457120112,0.21505837825,22.4934736083,22.1020395885,21.9591423623,21.958842071,23.0293682467,agn.spec,4.38043761743e-17,21.635802113,52.155,21.7781833215
-0.151015,192.360636046,3.25,0.0,84161409,3.1,2,0,3.15296834351,CCM,-24.2054106181,0.313125688482,23.1647401623,22.962589163,22.4440919944,22.5439107587,24.8208820433,agn.spec,2.36053735931e-17,22.3654811328,88.503,22.4282046626
-0.149466666667,192.360636046,3.25,0.0,84161409,3.1,2,1,3.13884662844,CCM,-24.2054106181,0.313125688482,22.5757413518,22.3735903525,21.8550931838,21.9549119482,24.2318832327,agn.spec,4.06078879862e-17,21.7764823222,0.0,21.8392058521
-0.00598166666667,267.745651718,3.54,0.0,84161670,3.1,4,0,3.14674666667,CCM,-25.589754188,0.207106451735,21.5507081963,21.7049042449,20.7523388277,20.8821167528,23.3368093074,agn.spec,1.04381531511e-16,20.7460618893,28.504,20.6978359762
-0.00166,267.745651718,3.54,0.0,84161670,3.1,4,1,3.15938833333,CCM,-25.589754188,0.207106451735,20.7098906212,20.8640866698,19.9115212525,20.0412991776,22.4959917323,agn.spec,2.26438721786e-16,19.9052443142,0.0,19.8570184011
0.00687833333333,267.745651718,3.54,0.0,84161670,3.1,4,2,3.14362333333,CCM,-25.589754188,0.207106451735,20.6175346439,20.7717306925,19.8191652753,19.9489432004,22.403635755,agn.spec,2.46543232356e-16,19.812888337,3.012,19.7646624238
0.00775166666667,267.745651718,3.54,0.0,84161670,3.1,4,3,3.153355,CCM,-25.589754188,0.207106451735,20.7229465226,20.8771425712,19.924577154,20.0543550791,22.5090476337,agn.spec,2.2373211807e-16,19.9183002156,10.219,19.8700743025
0.14277,359.506751893,2.97,0.0,84178665,3.1,2,0,3.16307337814,CCM,-23.4814774014,0.309519619532,23.1675481798,22.8863819398,22.4979737723,22.5711711156,24.3003269742,agn.spec,2.35444023727e-17,22.3300191677,0.0,22.5003496306
0.152686666667,359.506751893,2.97,0.0,84178665,3.1,2,1,3.14765165862,CCM,-23.4814774014,0.309519619532,23.8402912182,23.5591249782,23.1707168107,23.2439141539,24.9730700126,agn.spec,1.26704038001e-17,23.0027622061,171.721,23.173092669
0.296221666667,180.051940381,3.29,0.0,84513978,3.1,2,0,3.14937665812,CCM,-23.9985356786,0.376203985695,22.188720731,22.004428905,21.4693031051,21.5654590984,23.9018951744,agn.spec,5.79987522807e-17,21.3940151088,22.161,21.4275308568
0.30645,180.051940381,3.29,0.0,84513978,3.1,2,1,3.15254503489,CCM,-23.9985356786,0.376203985695,22.2517613784,22.0674695524,21.5323437525,21.6284997458,23.9649358218,agn.spec,5.47270945037e-17,21.4570557562,0.0,21.4905715043
