#The following SEDs are for the blue horizontal branch stars in the catalog
#These are Kurucz models
#sedfilename,number
bergeron_4750_90.dat_4950,16
bergeron_4750_70.dat_4850,146
bergeron_5000_65.dat_5150,61
bergeron_4750_85.dat_4800,45
bergeron_5000_75.dat_5250,32
bergeron_4750_95.dat_4850,8
bergeron_5000_80.dat_5250,31
bergeron_5000_80.dat_5000,186
bergeron_5000_75.dat_5100,90
bergeron_4750_90.dat_4900,33
bergeron_4500_85.dat_4700,94
bergeron_5000_70.dat_5100,78
bergeron_5000_80.dat_5050,187
bergeron_5000_80.dat_5150,138
bergeron_5000_70.dat_5250,225
bergeron_5000_85.dat_5050,240
bergeron_5000_65.dat_5100,146
bergeron_5000_85.dat_5200,174
bergeron_5000_80.dat_5100,146
bergeron_5000_65.dat_5050,207
bergeron_4750_95.dat_4800,10
bergeron_4750_95.dat_4950,42
bergeron_5000_90.dat_5100,206
bergeron_5000_85.dat_5250,148
bergeron_4500_90.dat_4600,30
bergeron_5000_80.dat_5200,98
bergeron_5000_90.dat_5000,15
bergeron_5000_90.dat_5200,254
bergeron_5250_65.dat_5400,127
bergeron_5000_75.dat_5200,34
bergeron_5250_65.dat_5450,152
bergeron_5000_75.dat_5150,59
bergeron_5000_90.dat_5250,256
bergeron_5250_70.dat_5500,185
bergeron_5250_65.dat_5500,531
bergeron_5250_70.dat_5450,132
bergeron_5000_85.dat_5100,216
bergeron_5000_65.dat_5200,66
bergeron_5000_90.dat_5050,95
bergeron_5000_95.dat_5000,95
bergeron_4500_90.dat_4750,105
bergeron_5000_85.dat_5150,220
bergeron_5250_75.dat_5350,132
bergeron_5000_90.dat_5150,273
bergeron_5250_75.dat_5400,178
bergeron_5000_95.dat_5050,38
bergeron_5250_75.dat_5450,227
bergeron_5000_85.dat_5000,299
bergeron_5250_75.dat_5300,36
bergeron_5250_75.dat_5500,295
bergeron_5250_80.dat_5400,25
bergeron_5250_95.dat_5250,33
bergeron_5250_85.dat_5350,56
bergeron_5250_80.dat_5350,29
bergeron_5250_85.dat_5450,14
bergeron_5250_70.dat_5400,114
bergeron_5250_90.dat_5350,145
bergeron_5250_80.dat_5450,16
bergeron_5250_95.dat_5450,114
bergeron_5250_95.dat_5400,148
bergeron_5250_95.dat_5500,109
bergeron_4750_65.dat_4800,199
bergeron_5250_85.dat_5400,59
bergeron_5500_70.dat_5800,270
bergeron_5250_85.dat_5300,58
bergeron_5250_90.dat_5400,72
bergeron_5000_70.dat_5150,150
bergeron_5250_95.dat_5300,132
bergeron_5500_75.dat_5800,210
bergeron_5500_65.dat_5600,494
bergeron_5500_75.dat_5700,181
bergeron_5250_65.dat_5350,130
bergeron_5500_70.dat_5900,295
bergeron_4750_75.dat_5000,126
bergeron_5500_80.dat_5800,253
bergeron_5500_85.dat_5600,2
bergeron_5500_70.dat_6000,296
bergeron_5250_95.dat_5350,161
bergeron_5250_90.dat_5450,94
bergeron_5500_65.dat_5900,305
bergeron_5500_95.dat_5600,33
bergeron_5250_80.dat_5300,38
bergeron_55000_85.dat_57000,1
bergeron_5250_70.dat_5300,246
bergeron_5500_75.dat_5900,264
bergeron_6000_65.dat_6200,162
bergeron_5500_85.dat_5800,178
bergeron_5000_75.dat_5050,95
bergeron_5500_65.dat_5800,364
bergeron_6000_70.dat_6500,282
